,address,lon,lat,full_address_google,eircode,useful_address
718,"Heatline Limited, County Meath, Ireland",-6.6564169,53.60554800000001,"Meath, Co. Meath, Ireland",,False
719,"Grogan Burner Services, County Kilkenny, Ireland",-7.245572299999999,52.5812508,"Ballyda, Danesfort, Co. Kilkenny, R95 XYH0, Ireland",R95 XYH0,True
720,"Caherdun Ltd, County Mayo, Ireland",-9.4289369,54.0152604,"Mayo, Co. Mayo, Ireland",,False
721,"Kereen Building Services, County Waterford, Ireland",-7.792130599999998,52.0903728,"Kereen Villierstown, Cappoquin, Co. Waterford, Ireland",,True
722,"Kal Heating And Plumbing, County Dublin 18, Ireland",-6.18879,53.258102,"33 Ballyogan Ct, Ballyogan Drive, Carrickmines, Dublin 18, D18 K6W6, Ireland",D18 K6W6,True
723,"A.M. Heating and Plumbing, County Dublin 15, Ireland",-6.3708523,53.3790537,"Laurel Lodge Rd, Blanchardstown, Castleknock, Co. Dublin, Ireland",,True
724,"Roscommon Heating & Plumbing Ltd, County Roscommon, Ireland",-8.181945899999999,53.63401649999999,"Roscommon, Ireland",,False
725,"RMC Ecobuild Ltd, County Limerick, Ireland",-9.2893923,52.38530979999999,"Clash, Abbeyfeale, Co. Limerick, V94 62R4, Ireland",V94 62R4,True
726,"Ashgrove Mechanical Services Ltd, County Dublin 11, Ireland",-6.3409828,53.400218,"32, Stadium Business Park, Cappoge, Dublin 11, Ireland",,True
727,"McCaher Construction Ltd., County Galway, Ireland",-8.8534113,53.3564509,"Galway, Co. Galway, Ireland",,False
728,"Limerick Boiler Doctor, County Limerick, Ireland",-8.530446699999999,52.7092535,"Doonass, Cloonlara, Co. Clare, V94 E7P3, Ireland",V94 E7P3,True
729,"B K Plumbing & Heating, County Monaghan, Ireland",-6.778116199999999,53.93989939999999,"Drumconrath Road, Drummond, Carrickmacross, Co. Monaghan, Ireland",,True
730,"Ian Hosford Ltd, County Cork, Ireland",-8.764363099999999,51.9884699,"Co. Cork, Ireland",,False
731,"Ian O Brien Heating & Plumbing, County Dublin 24, Ireland",-6.366707099999999,53.2750886,"32 Pineview Grove, Tallaght, Dublin 24, D24 K2HK, Ireland",D24 K2HK,True
732,"Iniscarrig Construction Ltd, County Kilkenny, Ireland",-7.218001999999999,52.5776957,"Kilkenny, Co. Kilkenny, Ireland",,False
733,"Solar Security Systems Ltd T/A O'Callaghan Brother, County Kerry, Ireland",-9.429122099999999,52.2359685,"Ballymacadam, Castleisland, Co. Kerry, V92 X6K2, Ireland",V92 X6K2,True
734,"Philipstown Carpentry, County Tipperary, Ireland",-8.1765156,52.5664183,"Philipston, Greenfields, Co. Tipperary, Ireland",,True
735,"ATC Mechanical Engineering Services Ltd, County Kildare, Ireland",-6.731846,53.328383,"Kilmurry, Clane, Co. Kildare, Ireland",,True
736,"Gas Pro Heating Ltd, County Co Dublin, Ireland",-6.117931899999999,53.23310919999999,"30 Eaton Wood Green, Shankill, Dublin, D18 DW02, Ireland",D18 DW02,True
737,"Paramount Heating Ltd, County Dublin 13, Ireland",-6.1377144,53.3893909,"83 Sutton Grove, Bayside, Dublin, D13 F6N1, Ireland",D13 F6N1,True
738,"John O'Donovan (Kinsale), County Cork, Ireland",-8.5222327,51.7058853,"Kinsale, Co. Cork, Ireland",,False
739,"JFK Plumbing and Heating Ltd, County Wexford, Ireland",-6.5839913,52.4793603,"Wexford, Co. Wexford, Ireland",,False
740,"Paul Murphy Heating + Plumbing, County Wexford, Ireland",-6.5839913,52.4793603,"Wexford, Co. Wexford, Ireland",,False
741,"Morrin Building Services, County Co Dublin, Ireland",-6.310565599999999,53.3302033,"Co. Dublin, Ireland",,False
